,features,Classifier,Acc,Sn,Sp,Mcc,Gcc
0,AAC,ET,0.7747759103641456,0.41575466443887493,0.8141070153912805,0.2801595437554557,0.9590160755177388
1,AAC,NB,0.7335014005602242,0.41862573099415207,0.8003094036251841,0.2022000209975487,0.9762445725491095
2,AAC,KNN,0.7299859943977591,0.33935950988582564,0.7896989670267311,0.1480673765324138,0.5838887572477932
3,AAC,LR,0.7629971988795518,0.45169451406293515,0.8111240706089156,0.2856145993508483,1.1388353691072768
4,AAC,RF,0.7818347338935574,0.4140197716513505,0.8181171484326626,0.28642209907969934,1.0142924497421428
5,AAC,SVM,0.7618207282913165,0.3189083820662768,0.7919745054684303,0.13198666618859464,0.2610544239007355
6,DPC,ET,0.757016806722689,0.32286549707602336,0.788332331594561,0.1367759030745443,0.3885015507252243
7,DPC,NB,0.7441596638655462,0.39083263714842664,0.8047084353768625,0.2008665729622912,0.8021025600336742
8,DPC,KNN,0.6887394957983194,0.30023113338902807,0.7802519896666608,0.08794801900192137,0.4427803614391051
9,DPC,LR,0.7371148459383753,0.3815664160401003,0.7937052599320242,0.21427676974426763,0.8722738128144835
10,DPC,RF,0.7536274509803922,0.30701754385964913,0.7855818731171927,0.10904423430904608,0.2163659134356822
11,DPC,SVM,0.7311204481792718,0.26164717348927874,0.7569882611885547,0.05229006286946862,0.04437177320344772
12,MBauto,ET,0.7323249299719888,0.3221428571428572,0.781808089372696,0.12209136693408396,0.5765633679481761
13,MBauto,NB,0.6863165266106442,0.3371567808409914,0.7710767096481537,0.10264898551683935,0.6723122529714243
14,MBauto,KNN,0.7063725490196078,0.27582706766917287,0.7669830176996768,0.0427737064067388,0.28050507969479177
15,MBauto,LR,0.7476610644257703,0.30940963519910886,0.7842149510950811,0.12174065534563991,0.4018250520670028
16,MBauto,RF,0.7369747899159664,0.31402394876079087,0.7794079851271773,0.1172318735592384,0.5234181687089892
17,MBauto,SVM,0.7228851540616246,0.24922027290448345,0.7493396918561995,-0.00757577091917874,0.009412921679792779
18,Moranauto,ET,0.7406582633053221,0.2925438596491228,0.7742210081969094,0.07842145387928685,0.18576650263637848
19,Moranauto,NB,0.6898739495798318,0.3459551656920078,0.778918384694403,0.11607417576583012,0.6891527285925338
20,Moranauto,KNN,0.6958403361344538,0.3165274296853244,0.7749936667159172,0.09423330269775335,0.453429037541113
21,Moranauto,LR,0.7288375350140057,0.30203703703703705,0.7718120838796726,0.09580729193113029,0.33453459768414484
22,Moranauto,RF,0.7287955182072829,0.2745614035087719,0.763887299671233,0.04369729735439582,0.14190889950745705
23,Moranauto,SVM,0.7240616246498599,0.25214424951267056,0.7508070432868672,0.01963144738574175,0.028134918310890416
24,Gearyauto,ET,0.7417927170868348,0.2917153996101365,0.7752234604981943,0.08055757195125146,0.18433873576416876
25,Gearyauto,NB,0.6886974789915966,0.36303118908382065,0.7759083978474073,0.11869275226257847,0.6909807105123795
26,Gearyauto,KNN,0.6957703081232494,0.3261125034809245,0.776213087115457,0.12032853843792675,0.5180254900461804
27,Gearyauto,LR,0.7288515406162464,0.3015009746588694,0.7727900371522765,0.09619212341031536,0.3342318285120149
28,Gearyauto,RF,0.7476610644257703,0.2993664717348928,0.779658461842507,0.09519968782712777,0.20472841535161743
29,Gearyauto,SVM,0.7252380952380951,0.2529239766081871,0.7514673514306677,0.016070119693842734,0.015834949612756787
30,CTD,ET,0.788935574229692,0.3900668337510443,0.8218765405331249,0.2402117675776136,0.45584302871635557
31,CTD,NB,0.7228851540616248,0.44214285714285706,0.8032367039436761,0.24149892693493819,0.8562727466050987
32,CTD,KNN,0.731078431372549,0.32748398774714566,0.7888182539323874,0.12095162841369755,0.4494615217155194
33,CTD,LR,0.7051540616246499,0.3454775828460039,0.7777216527749806,0.1255913391504923,0.6371876113741994
34,CTD,RF,0.7853501400560223,0.392521581732108,0.8210235327864783,0.23633823335397466,0.44966618315099965
35,CTD,SVM,0.7240616246498599,0.25,0.75,0.0,0.0
36,SOCN,ET,0.7371008403361345,0.3497702589807853,0.7887781109944948,0.17089080806298407,0.7557118459105101
37,SOCN,NB,0.6675350140056022,0.3691450849345586,0.7703785362029117,0.10082438722818403,0.6671619265997168
38,SOCN,KNN,0.7216666666666667,0.3135811751601225,0.7802855968395672,0.09988462193523961,0.4834258944626126
39,SOCN,LR,0.705266106442577,0.3076106934001671,0.7719931407948393,0.08266176312317534,0.6173327460164948
40,SOCN,RF,0.7358543417366947,0.3274603174603174,0.7842212051023791,0.1305197123731598,0.44495082967132255
41,SOCN,SVM,0.7287815126050419,0.2584795321637427,0.7550854891703084,0.04922119077564504,0.04347265153855451
42,QSO,ET,0.7559803921568627,0.35538986354775826,0.7907991918694309,0.19878421709525704,0.7276392972817485
43,QSO,NB,0.6910224089635854,0.3911988304093567,0.7799101981953627,0.16214595281054386,0.7310254281021031
44,QSO,KNN,0.7088235294117646,0.3393316624895572,0.7775967033035264,0.14502542905770033,0.7439428405834775
45,QSO,LR,0.7240616246498599,0.25,0.75,0.0,0.0
46,QSO,RF,0.7582913165266106,0.34946393762183237,0.7934171201273463,0.17143685312392862,0.6781400115357215
47,QSO,SVM,0.7240616246498599,0.25,0.75,0.0,0.0
48,PAAC,ET,0.7806722689075629,0.40200222779170147,0.8123373422171494,0.2744080335054216,0.9780493142062324
49,PAAC,NB,0.7488375350140056,0.4421191868560289,0.815572288450169,0.27297654074637834,1.0054993213987926
50,PAAC,KNN,0.7287535014005603,0.34077276524644945,0.7894181884421732,0.14185956507739464,0.39362197133506455
51,PAAC,LR,0.77593837535014,0.4449136730715678,0.8167526700975222,0.29905889681927783,0.9846161538464105
52,PAAC,RF,0.7689355742296918,0.374676970203286,0.8052417320375167,0.2458079136199572,0.7286408160875566
53,PAAC,SVM,0.7240616246498599,0.25,0.75,0.0,0.0
54,APAAC,ET,0.7713305322128852,0.3552617655249234,0.8098440817185392,0.17441958912835062,0.40646944849328615
55,APAAC,NB,0.7642156862745099,0.4227039821776664,0.8197567870254634,0.2540754452591377,0.9422162881952966
56,APAAC,KNN,0.7536134453781512,0.3714341409078251,0.8020947187680356,0.19658609736692265,0.5357539550077648
57,APAAC,LR,0.7901540616246499,0.49911445279866323,0.8411090234766696,0.3322472090395197,1.1660006532680387
58,APAAC,RF,0.7724649859943977,0.36674324700640487,0.8135803035132569,0.18805405596376706,0.5321425629148627
59,APAAC,SVM,0.7830952380952381,0.36993177387914233,0.8199770495491336,0.18402992082624364,0.5197495775227502
